,PRECINCT_NUMBER,PARTY,VOTES,CANDIDATE
1782,67,DEM,1304,Kwame R. Brown
1783,68,DEM,755,Kwame R. Brown
1784,69,DEM,962,Kwame R. Brown
1785,70,DEM,609,Kwame R. Brown
1786,71,DEM,928,Kwame R. Brown
1787,72,DEM,1312,Kwame R. Brown
1788,73,DEM,728,Kwame R. Brown
1789,74,DEM,1157,Kwame R. Brown
1790,75,DEM,819,Kwame R. Brown
1791,76,DEM,216,Kwame R. Brown
1792,77,DEM,767,Kwame R. Brown
1793,78,DEM,725,Kwame R. Brown
1794,79,DEM,395,Kwame R. Brown
1795,80,DEM,516,Kwame R. Brown
1796,81,DEM,1410,Kwame R. Brown
1797,82,DEM,895,Kwame R. Brown
1798,83,DEM,1126,Kwame R. Brown
1799,84,DEM,757,Kwame R. Brown
1800,85,DEM,974,Kwame R. Brown
1801,86,DEM,740,Kwame R. Brown
1802,87,DEM,1024,Kwame R. Brown
1803,88,DEM,872,Kwame R. Brown
1804,89,DEM,988,Kwame R. Brown
1805,90,DEM,591,Kwame R. Brown
1806,91,DEM,1318,Kwame R. Brown
1807,92,DEM,511,Kwame R. Brown
1808,93,DEM,493,Kwame R. Brown
1809,94,DEM,547,Kwame R. Brown
1810,95,DEM,426,Kwame R. Brown
1811,96,DEM,658,Kwame R. Brown
1812,97,DEM,379,Kwame R. Brown
1813,98,DEM,651,Kwame R. Brown
1814,99,DEM,461,Kwame R. Brown
1815,100,DEM,477,Kwame R. Brown
1816,101,DEM,643,Kwame R. Brown
1817,102,DEM,771,Kwame R. Brown
1818,103,DEM,1031,Kwame R. Brown
1819,104,DEM,736,Kwame R. Brown
1820,105,DEM,751,Kwame R. Brown
1821,106,DEM,1014,Kwame R. Brown
1822,107,DEM,442,Kwame R. Brown
1823,108,DEM,552,Kwame R. Brown
1824,109,DEM,493,Kwame R. Brown
1825,110,DEM,1616,Kwame R. Brown
1826,111,DEM,755,Kwame R. Brown
1827,112,DEM,706,Kwame R. Brown
1828,113,DEM,1014,Kwame R. Brown
1829,114,DEM,716,Kwame R. Brown
1830,115,DEM,649,Kwame R. Brown
1831,116,DEM,873,Kwame R. Brown
1832,117,DEM,388,Kwame R. Brown
1833,118,DEM,636,Kwame R. Brown
1834,119,DEM,624,Kwame R. Brown
1835,120,DEM,476,Kwame R. Brown
1836,121,DEM,913,Kwame R. Brown
1837,122,DEM,519,Kwame R. Brown
1838,123,DEM,667,Kwame R. Brown
1839,124,DEM,805,Kwame R. Brown
1840,125,DEM,1071,Kwame R. Brown
1841,126,DEM,889,Kwame R. Brown
1842,127,DEM,1354,Kwame R. Brown
1843,128,DEM,650,Kwame R. Brown
1844,129,DEM,620,Kwame R. Brown
1845,130,DEM,286,Kwame R. Brown
1846,131,DEM,487,Kwame R. Brown
1847,132,DEM,642,Kwame R. Brown
1848,133,DEM,536,Kwame R. Brown
1849,134,DEM,596,Kwame R. Brown
1850,135,DEM,946,Kwame R. Brown
1851,136,DEM,248,Kwame R. Brown
1852,137,DEM,306,Kwame R. Brown
1853,138,DEM,791,Kwame R. Brown
1854,139,DEM,900,Kwame R. Brown
1855,140,DEM,607,Kwame R. Brown
1856,141,DEM,665,Kwame R. Brown
1857,142,DEM,533,Kwame R. Brown
1858,143,DEM,621,Kwame R. Brown
1859,1,GRN,58,Ann C. Wilcox
1860,2,GRN,26,Ann C. Wilcox
1861,3,GRN,126,Ann C. Wilcox
1862,4,GRN,103,Ann C. Wilcox
1863,5,GRN,159,Ann C. Wilcox
1864,6,GRN,136,Ann C. Wilcox
1865,7,GRN,96,Ann C. Wilcox
1866,8,GRN,168,Ann C. Wilcox
1867,9,GRN,121,Ann C. Wilcox
1868,10,GRN,156,Ann C. Wilcox
1869,11,GRN,271,Ann C. Wilcox
1870,12,GRN,39,Ann C. Wilcox
1871,13,GRN,77,Ann C. Wilcox
1872,14,GRN,167,Ann C. Wilcox
1873,15,GRN,193,Ann C. Wilcox
1874,16,GRN,185,Ann C. Wilcox
1875,17,GRN,222,Ann C. Wilcox
1876,18,GRN,123,Ann C. Wilcox
1877,19,GRN,132,Ann C. Wilcox
1878,20,GRN,21,Ann C. Wilcox
1879,21,GRN,56,Ann C. Wilcox
1880,22,GRN,172,Ann C. Wilcox
1881,23,GRN,87,Ann C. Wilcox
1882,24,GRN,149,Ann C. Wilcox
1883,25,GRN,315,Ann C. Wilcox
1884,26,GRN,174,Ann C. Wilcox
1885,27,GRN,142,Ann C. Wilcox
1886,28,GRN,200,Ann C. Wilcox
1887,29,GRN,104,Ann C. Wilcox
1888,30,GRN,124,Ann C. Wilcox
1889,31,GRN,178,Ann C. Wilcox
1890,32,GRN,208,Ann C. Wilcox
1891,33,GRN,206,Ann C. Wilcox
1892,34,GRN,234,Ann C. Wilcox
1893,35,GRN,213,Ann C. Wilcox
1894,36,GRN,164,Ann C. Wilcox
1895,37,GRN,70,Ann C. Wilcox
1896,38,GRN,82,Ann C. Wilcox
1897,39,GRN,251,Ann C. Wilcox
1898,40,GRN,263,Ann C. Wilcox
1899,41,GRN,116,Ann C. Wilcox
1900,42,GRN,66,Ann C. Wilcox
1901,43,GRN,53,Ann C. Wilcox
1902,44,GRN,69,Ann C. Wilcox
1903,45,GRN,83,Ann C. Wilcox
1904,46,GRN,56,Ann C. Wilcox
1905,47,GRN,106,Ann C. Wilcox
1906,48,GRN,110,Ann C. Wilcox
1907,49,GRN,29,Ann C. Wilcox
1908,50,GRN,186,Ann C. Wilcox
1909,51,GRN,287,Ann C. Wilcox
1910,52,GRN,103,Ann C. Wilcox
1911,53,GRN,46,Ann C. Wilcox
1912,54,GRN,84,Ann C. Wilcox
1913,55,GRN,36,Ann C. Wilcox
1914,56,GRN,68,Ann C. Wilcox
1915,57,GRN,43,Ann C. Wilcox
1916,58,GRN,51,Ann C. Wilcox
1917,59,GRN,62,Ann C. Wilcox
1918,60,GRN,40,Ann C. Wilcox
1919,61,GRN,50,Ann C. Wilcox
1920,62,GRN,191,Ann C. Wilcox
1921,63,GRN,159,Ann C. Wilcox
1922,64,GRN,56,Ann C. Wilcox
1923,65,GRN,54,Ann C. Wilcox
1924,66,GRN,91,Ann C. Wilcox
1925,67,GRN,78,Ann C. Wilcox
1926,68,GRN,116,Ann C. Wilcox
1927,69,GRN,60,Ann C. Wilcox
1928,70,GRN,61,Ann C. Wilcox
1929,71,GRN,63,Ann C. Wilcox
1930,72,GRN,60,Ann C. Wilcox
1931,73,GRN,111,Ann C. Wilcox
1932,74,GRN,95,Ann C. Wilcox
1933,75,GRN,75,Ann C. Wilcox
1934,76,GRN,10,Ann C. Wilcox
1935,77,GRN,42,Ann C. Wilcox
1936,78,GRN,30,Ann C. Wilcox
1937,79,GRN,26,Ann C. Wilcox
1938,80,GRN,22,Ann C. Wilcox
1939,81,GRN,160,Ann C. Wilcox
1940,82,GRN,113,Ann C. Wilcox
1941,83,GRN,120,Ann C. Wilcox
1942,84,GRN,160,Ann C. Wilcox
1943,85,GRN,197,Ann C. Wilcox
1944,86,GRN,101,Ann C. Wilcox
1945,87,GRN,118,Ann C. Wilcox
1946,88,GRN,180,Ann C. Wilcox
1947,89,GRN,231,Ann C. Wilcox
1948,90,GRN,152,Ann C. Wilcox
1949,91,GRN,193,Ann C. Wilcox
1950,92,GRN,26,Ann C. Wilcox
1951,93,GRN,14,Ann C. Wilcox
1952,94,GRN,22,Ann C. Wilcox
1953,95,GRN,11,Ann C. Wilcox
1954,96,GRN,21,Ann C. Wilcox
1955,97,GRN,18,Ann C. Wilcox
1956,98,GRN,21,Ann C. Wilcox
1957,99,GRN,26,Ann C. Wilcox
1958,100,GRN,12,Ann C. Wilcox
1959,101,GRN,30,Ann C. Wilcox
1960,102,GRN,26,Ann C. Wilcox
1961,103,GRN,31,Ann C. Wilcox
1962,104,GRN,25,Ann C. Wilcox
1963,105,GRN,13,Ann C. Wilcox
1964,106,GRN,47,Ann C. Wilcox
1965,107,GRN,12,Ann C. Wilcox
1966,108,GRN,33,Ann C. Wilcox
1967,109,GRN,21,Ann C. Wilcox
1968,110,GRN,67,Ann C. Wilcox
1969,111,GRN,27,Ann C. Wilcox
1970,112,GRN,22,Ann C. Wilcox
1971,113,GRN,36,Ann C. Wilcox
1972,114,GRN,31,Ann C. Wilcox
1973,115,GRN,18,Ann C. Wilcox
1974,116,GRN,17,Ann C. Wilcox
1975,117,GRN,11,Ann C. Wilcox
1976,118,GRN,17,Ann C. Wilcox
1977,119,GRN,28,Ann C. Wilcox
1978,120,GRN,26,Ann C. Wilcox
1979,121,GRN,36,Ann C. Wilcox
1980,122,GRN,16,Ann C. Wilcox
1981,123,GRN,27,Ann C. Wilcox
1982,124,GRN,26,Ann C. Wilcox
1983,125,GRN,29,Ann C. Wilcox
1984,126,GRN,30,Ann C. Wilcox
1985,127,GRN,159,Ann C. Wilcox
1986,128,GRN,81,Ann C. Wilcox
1987,129,GRN,82,Ann C. Wilcox
1988,130,GRN,95,Ann C. Wilcox
1989,131,GRN,105,Ann C. Wilcox
1990,132,GRN,16,Ann C. Wilcox
1991,133,GRN,20,Ann C. Wilcox
1992,134,GRN,26,Ann C. Wilcox
1993,135,GRN,98,Ann C. Wilcox
1994,136,GRN,58,Ann C. Wilcox
1995,137,GRN,47,Ann C. Wilcox
1996,138,GRN,121,Ann C. Wilcox
1997,139,GRN,38,Ann C. Wilcox
1998,140,GRN,24,Ann C. Wilcox
1999,141,GRN,113,Ann C. Wilcox
2000,142,GRN,64,Ann C. Wilcox
2001,143,GRN,119,Ann C. Wilcox
2002,1,NON,10,WRITE-IN
2003,2,NON,1,WRITE-IN
2004,3,NON,20,WRITE-IN
2005,4,NON,30,WRITE-IN
2006,5,NON,53,WRITE-IN
2007,6,NON,33,WRITE-IN
2008,7,NON,20,WRITE-IN
2009,8,NON,52,WRITE-IN
2010,9,NON,37,WRITE-IN
2011,10,NON,42,WRITE-IN
2012,11,NON,42,WRITE-IN
2013,12,NON,11,WRITE-IN
2014,13,NON,20,WRITE-IN
2015,14,NON,23,WRITE-IN
2016,15,NON,33,WRITE-IN
2017,16,NON,48,WRITE-IN
2018,17,NON,47,WRITE-IN
2019,18,NON,33,WRITE-IN
2020,19,NON,20,WRITE-IN
2021,20,NON,3,WRITE-IN
2022,21,NON,11,WRITE-IN
2023,22,NON,32,WRITE-IN
2024,23,NON,14,WRITE-IN
2025,24,NON,11,WRITE-IN
2026,25,NON,38,WRITE-IN
2027,26,NON,29,WRITE-IN
2028,27,NON,40,WRITE-IN
2029,28,NON,41,WRITE-IN
2030,29,NON,22,WRITE-IN
2031,30,NON,18,WRITE-IN
2032,31,NON,56,WRITE-IN
2033,32,NON,48,WRITE-IN
2034,33,NON,41,WRITE-IN
2035,34,NON,40,WRITE-IN
2036,35,NON,24,WRITE-IN
2037,36,NON,17,WRITE-IN
2038,37,NON,9,WRITE-IN
2039,38,NON,9,WRITE-IN
2040,39,NON,33,WRITE-IN
2041,40,NON,23,WRITE-IN
2042,41,NON,14,WRITE-IN
2043,42,NON,5,WRITE-IN
2044,43,NON,9,WRITE-IN
2045,44,NON,8,WRITE-IN
2046,45,NON,15,WRITE-IN
2047,46,NON,9,WRITE-IN
2048,47,NON,17,WRITE-IN
2049,48,NON,21,WRITE-IN
2050,49,NON,2,WRITE-IN
2051,50,NON,27,WRITE-IN
2052,51,NON,94,WRITE-IN
2053,52,NON,34,WRITE-IN
2054,53,NON,19,WRITE-IN
2055,54,NON,13,WRITE-IN
2056,55,NON,11,WRITE-IN
2057,56,NON,11,WRITE-IN
2058,57,NON,14,WRITE-IN
2059,58,NON,9,WRITE-IN
2060,59,NON,15,WRITE-IN
2061,60,NON,8,WRITE-IN
2062,61,NON,11,WRITE-IN
2063,62,NON,54,WRITE-IN
2064,63,NON,30,WRITE-IN
2065,64,NON,7,WRITE-IN
2066,65,NON,19,WRITE-IN
2067,66,NON,31,WRITE-IN
2068,67,NON,18,WRITE-IN
2069,68,NON,27,WRITE-IN
2070,69,NON,20,WRITE-IN
2071,70,NON,10,WRITE-IN
2072,71,NON,24,WRITE-IN
2073,72,NON,19,WRITE-IN
2074,73,NON,16,WRITE-IN
2075,74,NON,23,WRITE-IN
2076,75,NON,10,WRITE-IN
2077,76,NON,2,WRITE-IN
2078,77,NON,4,WRITE-IN
2079,78,NON,5,WRITE-IN
2080,79,NON,1,WRITE-IN
2081,80,NON,5,WRITE-IN
2082,81,NON,33,WRITE-IN
2083,82,NON,16,WRITE-IN
2084,83,NON,29,WRITE-IN
2085,84,NON,51,WRITE-IN
2086,85,NON,65,WRITE-IN
2087,86,NON,34,WRITE-IN
2088,87,NON,22,WRITE-IN
2089,88,NON,24,WRITE-IN
2090,89,NON,73,WRITE-IN
2091,90,NON,31,WRITE-IN
2092,91,NON,38,WRITE-IN
2093,92,NON,1,WRITE-IN
2094,93,NON,3,WRITE-IN
2095,94,NON,3,WRITE-IN
2096,95,NON,3,WRITE-IN
2097,96,NON,2,WRITE-IN
2098,97,NON,1,WRITE-IN
2099,98,NON,3,WRITE-IN
2100,99,NON,1,WRITE-IN
2101,100,NON,0,WRITE-IN
2102,101,NON,1,WRITE-IN
2103,102,NON,3,WRITE-IN
2104,103,NON,5,WRITE-IN
2105,104,NON,3,WRITE-IN
2106,105,NON,5,WRITE-IN
2107,106,NON,10,WRITE-IN
2108,107,NON,3,WRITE-IN
2109,108,NON,7,WRITE-IN
2110,109,NON,6,WRITE-IN
2111,110,NON,11,WRITE-IN
2112,111,NON,5,WRITE-IN
2113,112,NON,3,WRITE-IN
2114,113,NON,13,WRITE-IN
2115,114,NON,4,WRITE-IN
2116,115,NON,2,WRITE-IN
2117,116,NON,1,WRITE-IN
2118,117,NON,1,WRITE-IN
2119,118,NON,5,WRITE-IN
2120,119,NON,2,WRITE-IN
2121,120,NON,1,WRITE-IN
2122,121,NON,4,WRITE-IN
2123,122,NON,1,WRITE-IN
2124,123,NON,4,WRITE-IN
2125,124,NON,3,WRITE-IN
2126,125,NON,4,WRITE-IN
2127,126,NON,4,WRITE-IN
2128,127,NON,16,WRITE-IN
2129,128,NON,15,WRITE-IN
2130,129,NON,26,WRITE-IN
2131,130,NON,29,WRITE-IN
2132,131,NON,21,WRITE-IN
2133,132,NON,0,WRITE-IN
2134,133,NON,3,WRITE-IN
2135,134,NON,2,WRITE-IN
2136,135,NON,11,WRITE-IN
2137,136,NON,3,WRITE-IN
2138,137,NON,6,WRITE-IN
2139,138,NON,41,WRITE-IN
2140,139,NON,13,WRITE-IN
2141,140,NON,4,WRITE-IN
2142,141,NON,19,WRITE-IN
2143,142,NON,12,WRITE-IN
2144,143,NON,28,WRITE-IN
2145,1,IND,61,Richard Urban
2146,2,IND,14,Richard Urban
2147,3,IND,63,Richard Urban
2148,4,IND,84,Richard Urban
2149,5,IND,96,Richard Urban
2150,6,IND,78,Richard Urban
2151,7,IND,78,Richard Urban
2152,8,IND,145,Richard Urban
2153,9,IND,130,Richard Urban
2154,10,IND,92,Richard Urban
2155,11,IND,131,Richard Urban
2156,12,IND,37,Richard Urban
2157,13,IND,51,Richard Urban
2158,14,IND,75,Richard Urban
2159,15,IND,70,Richard Urban
2160,16,IND,79,Richard Urban
2161,17,IND,125,Richard Urban
2162,18,IND,68,Richard Urban
2163,19,IND,93,Richard Urban
2164,20,IND,16,Richard Urban
2165,21,IND,30,Richard Urban
2166,22,IND,79,Richard Urban
2167,23,IND,50,Richard Urban
2168,24,IND,51,Richard Urban
2169,25,IND,94,Richard Urban
2170,26,IND,82,Richard Urban
2171,27,IND,76,Richard Urban
2172,28,IND,125,Richard Urban
2173,29,IND,62,Richard Urban
2174,30,IND,65,Richard Urban
2175,31,IND,101,Richard Urban
2176,32,IND,96,Richard Urban
2177,33,IND,83,Richard Urban
2178,34,IND,110,Richard Urban
2179,35,IND,51,Richard Urban
2180,36,IND,96,Richard Urban
2181,37,IND,68,Richard Urban
2182,38,IND,63,Richard Urban
2183,39,IND,78,Richard Urban
2184,40,IND,86,Richard Urban
2185,41,IND,61,Richard Urban
2186,42,IND,32,Richard Urban
2187,43,IND,44,Richard Urban
2188,44,IND,102,Richard Urban
2189,45,IND,48,Richard Urban
2190,46,IND,50,Richard Urban
2191,47,IND,71,Richard Urban
2192,48,IND,71,Richard Urban
2193,49,IND,19,Richard Urban
2194,50,IND,91,Richard Urban
2195,51,IND,181,Richard Urban
2196,52,IND,53,Richard Urban
2197,53,IND,24,Richard Urban
2198,54,IND,70,Richard Urban
2199,55,IND,40,Richard Urban
2200,56,IND,59,Richard Urban
2201,57,IND,62,Richard Urban
2202,58,IND,72,Richard Urban
2203,59,IND,77,Richard Urban
2204,60,IND,43,Richard Urban
2205,61,IND,56,Richard Urban
2206,62,IND,119,Richard Urban
2207,63,IND,93,Richard Urban
2208,64,IND,79,Richard Urban
2209,65,IND,103,Richard Urban
2210,66,IND,200,Richard Urban
2211,67,IND,128,Richard Urban
2212,68,IND,74,Richard Urban
2213,69,IND,71,Richard Urban
2214,70,IND,50,Richard Urban
2215,71,IND,69,Richard Urban
2216,72,IND,91,Richard Urban
2217,73,IND,81,Richard Urban
2218,74,IND,105,Richard Urban
2219,75,IND,61,Richard Urban
2220,76,IND,9,Richard Urban
2221,77,IND,52,Richard Urban
2222,78,IND,56,Richard Urban
2223,79,IND,44,Richard Urban
2224,80,IND,37,Richard Urban
2225,81,IND,157,Richard Urban
2226,82,IND,111,Richard Urban
2227,83,IND,103,Richard Urban
2228,84,IND,85,Richard Urban
2229,85,IND,122,Richard Urban
2230,86,IND,95,Richard Urban
2231,87,IND,96,Richard Urban
2232,88,IND,107,Richard Urban
2233,89,IND,152,Richard Urban
2234,90,IND,82,Richard Urban
2235,91,IND,138,Richard Urban
2236,92,IND,27,Richard Urban
2237,93,IND,23,Richard Urban
2238,94,IND,30,Richard Urban
2239,95,IND,15,Richard Urban
2240,96,IND,27,Richard Urban
2241,97,IND,24,Richard Urban
2242,98,IND,45,Richard Urban
2243,99,IND,40,Richard Urban
2244,100,IND,18,Richard Urban
2245,101,IND,31,Richard Urban
2246,102,IND,34,Richard Urban
2247,103,IND,49,Richard Urban
2248,104,IND,34,Richard Urban
2249,105,IND,35,Richard Urban
2250,106,IND,89,Richard Urban
2251,107,IND,19,Richard Urban
2252,108,IND,42,Richard Urban
2253,109,IND,44,Richard Urban
2254,110,IND,113,Richard Urban
2255,111,IND,39,Richard Urban
2256,112,IND,50,Richard Urban
2257,113,IND,70,Richard Urban
2258,114,IND,33,Richard Urban
2259,115,IND,39,Richard Urban
2260,116,IND,35,Richard Urban
2261,117,IND,27,Richard Urban
2262,118,IND,43,Richard Urban
2263,119,IND,26,Richard Urban
2264,120,IND,31,Richard Urban
2265,121,IND,75,Richard Urban
2266,122,IND,27,Richard Urban
2267,123,IND,54,Richard Urban
2268,124,IND,37,Richard Urban
2269,125,IND,53,Richard Urban
2270,126,IND,43,Richard Urban
2271,127,IND,96,Richard Urban
2272,128,IND,80,Richard Urban
2273,129,IND,70,Richard Urban
2274,130,IND,77,Richard Urban
2275,131,IND,98,Richard Urban
2276,132,IND,28,Richard Urban
2277,133,IND,32,Richard Urban
2278,134,IND,38,Richard Urban
2279,135,IND,78,Richard Urban
2280,136,IND,25,Richard Urban
2281,137,IND,17,Richard Urban
2282,138,IND,77,Richard Urban
2283,139,IND,77,Richard Urban
2284,140,IND,64,Richard Urban
2285,141,IND,26,Richard Urban
2286,142,IND,50,Richard Urban
2287,143,IND,86,Richard Urban
2288,1,DEM,617,Phil Mendelson
2289,2,DEM,86,Phil Mendelson
2290,3,DEM,498,Phil Mendelson
2291,4,DEM,468,Phil Mendelson
2292,5,DEM,687,Phil Mendelson
2293,6,DEM,556,Phil Mendelson
2294,7,DEM,439,Phil Mendelson
2295,8,DEM,975,Phil Mendelson
2296,9,DEM,470,Phil Mendelson
2297,10,DEM,775,Phil Mendelson
2298,11,DEM,978,Phil Mendelson
2299,12,DEM,178,Phil Mendelson
2300,13,DEM,393,Phil Mendelson
2301,14,DEM,711,Phil Mendelson
2302,15,DEM,926,Phil Mendelson
2303,16,DEM,861,Phil Mendelson
2304,17,DEM,1085,Phil Mendelson
2305,18,DEM,1041,Phil Mendelson
2306,19,DEM,1005,Phil Mendelson
2307,20,DEM,242,Phil Mendelson
2308,21,DEM,410,Phil Mendelson
2309,22,DEM,990,Phil Mendelson
2310,23,DEM,670,Phil Mendelson
2311,24,DEM,718,Phil Mendelson
2312,25,DEM,1238,Phil Mendelson
2313,26,DEM,951,Phil Mendelson
2314,27,DEM,893,Phil Mendelson
2315,28,DEM,861,Phil Mendelson
2316,29,DEM,441,Phil Mendelson
2317,30,DEM,616,Phil Mendelson
2318,31,DEM,978,Phil Mendelson
2319,32,DEM,1031,Phil Mendelson
2320,33,DEM,1095,Phil Mendelson
2321,34,DEM,1226,Phil Mendelson
2322,35,DEM,1027,Phil Mendelson
2323,36,DEM,916,Phil Mendelson
2324,37,DEM,650,Phil Mendelson
2325,38,DEM,636,Phil Mendelson
2326,39,DEM,930,Phil Mendelson
2327,40,DEM,1079,Phil Mendelson
2328,41,DEM,776,Phil Mendelson
2329,42,DEM,442,Phil Mendelson
2330,43,DEM,468,Phil Mendelson
2331,44,DEM,846,Phil Mendelson
2332,45,DEM,655,Phil Mendelson
2333,46,DEM,799,Phil Mendelson
2334,47,DEM,787,Phil Mendelson
2335,48,DEM,957,Phil Mendelson
2336,49,DEM,208,Phil Mendelson
2337,50,DEM,904,Phil Mendelson
2338,51,DEM,1413,Phil Mendelson
2339,52,DEM,549,Phil Mendelson
2340,53,DEM,407,Phil Mendelson
2341,54,DEM,805,Phil Mendelson
2342,55,DEM,739,Phil Mendelson
2343,56,DEM,946,Phil Mendelson
2344,57,DEM,802,Phil Mendelson
2345,58,DEM,800,Phil Mendelson
2346,59,DEM,922,Phil Mendelson
2347,60,DEM,625,Phil Mendelson
2348,61,DEM,654,Phil Mendelson
2349,62,DEM,1483,Phil Mendelson
2350,63,DEM,1171,Phil Mendelson
2351,64,DEM,933,Phil Mendelson
2352,65,DEM,1065,Phil Mendelson
2353,66,DEM,1837,Phil Mendelson
2354,67,DEM,1259,Phil Mendelson
2355,68,DEM,765,Phil Mendelson
2356,69,DEM,925,Phil Mendelson
2357,70,DEM,570,Phil Mendelson
2358,71,DEM,877,Phil Mendelson
2359,72,DEM,1231,Phil Mendelson
2360,73,DEM,728,Phil Mendelson
2361,74,DEM,1076,Phil Mendelson
2362,75,DEM,763,Phil Mendelson
2363,76,DEM,205,Phil Mendelson
2364,77,DEM,670,Phil Mendelson
2365,78,DEM,649,Phil Mendelson
2366,79,DEM,350,Phil Mendelson
2367,80,DEM,479,Phil Mendelson
2368,81,DEM,1310,Phil Mendelson
2369,82,DEM,823,Phil Mendelson
2370,83,DEM,1039,Phil Mendelson
2371,84,DEM,756,Phil Mendelson
2372,85,DEM,971,Phil Mendelson
2373,86,DEM,715,Phil Mendelson
2374,87,DEM,962,Phil Mendelson
2375,88,DEM,868,Phil Mendelson
2376,89,DEM,1029,Phil Mendelson
2377,90,DEM,602,Phil Mendelson
2378,91,DEM,1223,Phil Mendelson
2379,92,DEM,482,Phil Mendelson
2380,93,DEM,461,Phil Mendelson
2381,94,DEM,499,Phil Mendelson
2382,95,DEM,381,Phil Mendelson
2383,96,DEM,597,Phil Mendelson
2384,97,DEM,341,Phil Mendelson
2385,98,DEM,574,Phil Mendelson
2386,99,DEM,409,Phil Mendelson
2387,100,DEM,427,Phil Mendelson
2388,101,DEM,582,Phil Mendelson
2389,102,DEM,695,Phil Mendelson
2390,103,DEM,926,Phil Mendelson
2391,104,DEM,650,Phil Mendelson
2392,105,DEM,685,Phil Mendelson
2393,106,DEM,923,Phil Mendelson
2394,107,DEM,416,Phil Mendelson
2395,108,DEM,521,Phil Mendelson
2396,109,DEM,467,Phil Mendelson
2397,110,DEM,1493,Phil Mendelson
2398,111,DEM,681,Phil Mendelson
2399,112,DEM,630,Phil Mendelson
2400,113,DEM,927,Phil Mendelson
2401,114,DEM,670,Phil Mendelson
2402,115,DEM,569,Phil Mendelson
2403,116,DEM,791,Phil Mendelson
2404,117,DEM,348,Phil Mendelson
2405,118,DEM,563,Phil Mendelson
2406,119,DEM,574,Phil Mendelson
2407,120,DEM,411,Phil Mendelson
2408,121,DEM,833,Phil Mendelson
2409,122,DEM,471,Phil Mendelson
2410,123,DEM,589,Phil Mendelson
2411,124,DEM,732,Phil Mendelson
2412,125,DEM,941,Phil Mendelson
2413,126,DEM,779,Phil Mendelson
2414,127,DEM,1282,Phil Mendelson
2415,128,DEM,599,Phil Mendelson
2416,129,DEM,560,Phil Mendelson
2417,130,DEM,277,Phil Mendelson
2418,131,DEM,437,Phil Mendelson
2419,132,DEM,597,Phil Mendelson
2420,133,DEM,467,Phil Mendelson
2421,134,DEM,544,Phil Mendelson
2422,135,DEM,885,Phil Mendelson
2423,136,DEM,255,Phil Mendelson
2424,137,DEM,299,Phil Mendelson
2425,138,DEM,792,Phil Mendelson
2426,139,DEM,815,Phil Mendelson
2427,140,DEM,532,Phil Mendelson
2428,141,DEM,652,Phil Mendelson
2429,142,DEM,523,Phil Mendelson
2430,143,DEM,557,Phil Mendelson
2431,1,IND,205,David Catania
2432,2,IND,59,David Catania
2433,3,IND,405,David Catania
2434,4,IND,364,David Catania
2435,5,IND,612,David Catania
2436,6,IND,512,David Catania
2437,7,IND,364,David Catania
2438,8,IND,1003,David Catania
2439,9,IND,458,David Catania
2440,10,IND,706,David Catania
2441,11,IND,741,David Catania
2442,12,IND,207,David Catania
2443,13,IND,423,David Catania
2444,14,IND,615,David Catania
2445,15,IND,782,David Catania
2446,16,IND,819,David Catania
2447,17,IND,869,David Catania
2448,18,IND,546,David Catania
2449,19,IND,455,David Catania
2450,20,IND,92,David Catania
2451,21,IND,255,David Catania
2452,22,IND,777,David Catania
2453,23,IND,380,David Catania
2454,24,IND,499,David Catania
2455,25,IND,1043,David Catania
2456,26,IND,737,David Catania
2457,27,IND,721,David Catania
2458,28,IND,828,David Catania
2459,29,IND,395,David Catania
2460,30,IND,554,David Catania
2461,31,IND,871,David Catania
2462,32,IND,934,David Catania
2463,33,IND,928,David Catania
2464,34,IND,899,David Catania
2465,35,IND,651,David Catania
2466,36,IND,520,David Catania
2467,37,IND,300,David Catania
2468,38,IND,300,David Catania
2469,39,IND,653,David Catania
2470,40,IND,732,David Catania
2471,41,IND,377,David Catania
2472,42,IND,205,David Catania
2473,43,IND,194,David Catania
2474,44,IND,295,David Catania
2475,45,IND,276,David Catania
2476,46,IND,314,David Catania
2477,47,IND,446,David Catania
2478,48,IND,499,David Catania
2479,49,IND,105,David Catania
2480,50,IND,739,David Catania
2481,51,IND,1351,David Catania
2482,52,IND,500,David Catania
2483,53,IND,194,David Catania
2484,54,IND,378,David Catania
2485,55,IND,291,David Catania
2486,56,IND,365,David Catania
2487,57,IND,329,David Catania
2488,58,IND,315,David Catania
2489,59,IND,388,David Catania
2490,60,IND,265,David Catania
2491,61,IND,334,David Catania
2492,62,IND,1034,David Catania
2493,63,IND,647,David Catania
2494,64,IND,381,David Catania
2495,65,IND,377,David Catania
2496,66,IND,686,David Catania
2497,67,IND,531,David Catania
2498,68,IND,423,David Catania
2499,69,IND,359,David Catania
2500,70,IND,230,David Catania
2501,71,IND,356,David Catania
2502,72,IND,378,David Catania
2503,73,IND,381,David Catania
2504,74,IND,359,David Catania
2505,75,IND,259,David Catania
2506,76,IND,43,David Catania
2507,77,IND,199,David Catania
2508,78,IND,172,David Catania
2509,79,IND,88,David Catania
2510,80,IND,147,David Catania
2511,81,IND,673,David Catania
2512,82,IND,473,David Catania
2513,83,IND,510,David Catania
2514,84,IND,579,David Catania
2515,85,IND,831,David Catania
2516,86,IND,439,David Catania
